"Adelaide" "2009-01-28,45.7"
"Adelaide" "2014-01-14,45.1"
"Adelaide" "2014-02-02,44.7"
"Albany" "2016-11-15,39.0"
"Albany" "2010-01-18,38.9"
"Albany" "2015-03-13,37.5"
"Albury" "2009-02-07,44.8"
"Albury" "2014-01-16,43.6"
"Albury" "2009-02-01,43.1"
"AliceSprings" "2014-11-13,44.9"
"AliceSprings" "2014-01-02,44.9"
"AliceSprings" "2014-12-15,44.0"
"BadgerysCreek" "2010-01-23,43.0"
"BadgerysCreek" "2009-01-15,42.9"
"BadgerysCreek" "2009-12-17,42.5"
"Ballarat" "2009-02-07,44.1"
"Ballarat" "2009-01-29,41.4"
"Ballarat" "2014-01-14,41.3"
"Bendigo" "2009-02-07,45.4"
"Bendigo" "2014-01-14,43.8"
"Bendigo" "2009-01-31,43.6"
"Brisbane" "2014-11-16,38.9"
"Brisbane" "2014-01-04,38.7"
"Brisbane" "2015-01-25,36.7"
"Cairns" "2016-02-17,37.9"
"Cairns" "2010-02-04,36.9"
"Cairns" "2016-02-16,36.6"
"Canberra" "2014-01-15,40.2"
"Canberra" "2014-01-16,40.1"
"Canberra" "2014-01-18,40.0"
"Cobar" "2009-11-20,45.4"
"Cobar" "2014-11-23,45.2"
"Cobar" "2014-01-02,44.3"
"CoffsHarbour" "2009-11-29,37.7"
"CoffsHarbour" "2016-11-13,37.4"
"CoffsHarbour" "2016-12-06,35.3"
"Dartmoor" "2014-02-02,44.2"
"Dartmoor" "2014-01-16,44.2"
"Dartmoor" "2010-01-11,44.2"
"Darwin" "2009-10-18,38.0"
"Darwin" "2009-10-17,37.8"
"Darwin" "2016-10-08,37.5"
"GoldCoast" "2010-01-18,37.9"
"GoldCoast" "2014-12-17,36.9"
"GoldCoast" "2015-01-15,36.5"
"Hobart" "2014-01-28,38.9"
"Hobart" "2009-12-31,38.3"
"Hobart" "2010-01-11,36.5"
"Katherine" "2015-11-26,42.0"
"Katherine" "2016-11-13,41.5"
"Katherine" "2016-11-09,41.5"
"Launceston" "2009-01-30,39.0"
"Launceston" "2009-01-31,38.2"
"Launceston" "2009-01-29,36.9"
"Melbourne" "2009-02-07,46.4"
"Melbourne" "2009-01-30,45.1"
"Melbourne" "2009-01-29,44.3"
"MelbourneAirport" "2009-02-07,46.8"
"MelbourneAirport" "2009-01-30,44.2"
"MelbourneAirport" "2009-01-29,44.2"
"Mildura" "2009-02-07,46.7"
"Mildura" "2014-01-14,45.2"
"Mildura" "2016-01-13,44.5"
"Moree" "2014-01-03,47.3"
"Moree" "2014-11-15,43.5"
"Moree" "2014-11-23,43.1"
"MountGambier" "2014-02-02,44.9"
"MountGambier" "2014-01-16,44.1"
"MountGambier" "2009-01-29,43.6"
"MountGinini" "2014-01-18,31.1"
"MountGinini" "2014-01-16,30.7"
"MountGinini" "2014-02-02,30.0"
"Newcastle" "2010-01-23,42.0"
"Newcastle" "2009-11-20,42.0"
"Newcastle" "2009-11-22,41.7"
"Nhil" "2014-01-14,45.3"
"Nhil" "2014-02-02,44.5"
"Nhil" "2014-01-17,43.9"
"NorahHead" "2009-01-24,40.4"
"NorahHead" "2015-11-20,40.3"
"NorahHead" "2010-01-23,40.2"
"NorfolkIsland" "2010-12-28,28.2"
"NorfolkIsland" "2009-02-19,28.1"
"NorfolkIsland" "2009-02-16,28.1"
"Nuriootpa" "2009-01-28,44.1"
"Nuriootpa" "2009-02-07,43.9"
"Nuriootpa" "2014-01-14,42.5"
"PearceRAAF" "2015-01-05,45.4"
"PearceRAAF" "2016-02-10,45.1"
"PearceRAAF" "2014-01-11,44.5"
"Penrith" "2014-11-23,44.9"
"Penrith" "2010-01-23,42.9"
"Penrith" "2016-02-25,42.2"
"Perth" "2015-01-05,44.4"
"Perth" "2014-01-11,43.3"
"Perth" "2010-01-17,42.9"
"PerthAirport" "2015-01-05,44.2"
"PerthAirport" "2014-01-11,43.5"
"PerthAirport" "2010-01-18,43.2"
"Portland" "2014-02-02,42.5"
"Portland" "2010-01-11,40.8"
"Portland" "2014-01-16,40.7"
"Richmond" "2014-11-23,45.3"
"Richmond" "2010-01-23,43.3"
"Richmond" "2009-12-17,42.1"
"Sale" "2009-02-07,44.4"
"Sale" "2009-01-30,43.4"
"Sale" "2009-01-29,43.4"
"SalmonGums" "2015-02-09,44.8"
"SalmonGums" "2009-12-29,43.4"
"SalmonGums" "2009-01-26,43.4"
"Sydney" "2010-01-23,41.3"
"Sydney" "2015-11-20,40.9"
"Sydney" "2009-01-24,40.9"
"SydneyAirport" "2015-11-20,42.8"
"SydneyAirport" "2010-01-23,42.5"
"SydneyAirport" "2009-11-22,42.5"
"Townsville" "2016-01-06,38.3"
"Townsville" "2016-02-17,37.7"
"Townsville" "2016-01-05,37.7"
"Tuggeranong" "2014-01-16,40.0"
"Tuggeranong" "2014-01-15,39.9"
"Tuggeranong" "2009-02-08,39.9"
"Uluru" "2014-01-01,44.4"
"Uluru" "2015-12-05,44.1"
"Uluru" "2014-12-14,44.0"
"WaggaWagga" "2009-02-07,45.2"
"WaggaWagga" "2016-01-13,43.2"
"WaggaWagga" "2010-01-10,42.9"
"Walpole" "2016-02-08,39.4"
"Walpole" "2015-02-04,38.5"
"Walpole" "2010-03-12,38.5"
"Watsonia" "2009-02-07,46.7"
"Watsonia" "2009-01-29,44.7"
"Watsonia" "2009-01-30,44.0"
"Williamtown" "2010-01-23,42.2"
"Williamtown" "2009-01-15,42.0"
"Williamtown" "2009-11-22,41.9"
"Witchcliffe" "2016-02-08,39.6"
"Witchcliffe" "2010-01-17,39.3"
"Witchcliffe" "2010-01-18,38.7"
"Wollongong" "2009-01-24,40.1"
"Wollongong" "2015-11-20,39.8"
"Wollongong" "2009-11-22,39.4"
"Woomera" "2014-01-01,46.8"
"Woomera" "2009-02-07,46.2"
"Woomera" "2009-02-06,45.6"
